ClusterHead,1
ClusterHead,2
ClusterHead,3
Follower,6,3
Follower,7,3
Follower,8,3
Follower,9,3
Follower,10,3
Follower,11,3
Follower,12,3
Follower,13,3
Follower,14,3
Follower,15,3
Follower,16,3
Follower,17,3
Follower,18,3
Follower,19,3
Follower,20,3
Follower,21,3
Follower,22,3
Follower,23,3
Follower,24,3
Follower,25,3
Follower,26,3
Follower,27,3
Follower,28,3
Follower,29,3
Follower,30,3
Follower,31,3
Follower,32,3
Follower,33,3
Follower,34,3
Follower,35,3
Follower,36,3
Follower,37,3
Follower,38,3
Follower,39,3
Follower,40,3
Follower,41,3
Follower,42,3
Follower,43,3
Follower,44,3
Follower,45,3
Follower,46,3
Follower,47,3
Follower,48,3
Follower,49,3
Follower,50,3
Follower,51,3
Follower,52,3
Follower,53,3
Follower,54,3
Follower,55,3
Follower,56,3
Follower,57,3
Follower,58,3
Follower,59,3
Follower,60,3
Follower,61,3
Follower,62,3
Follower,63,3
Follower,64,3
Follower,65,3
Follower,66,3
Follower,67,3
Follower,68,3
Follower,69,3
Follower,70,3
Follower,71,3
Follower,72,3
Follower,73,3
Follower,74,3
Follower,75,3
Follower,76,3
Follower,77,3
Follower,78,3
Follower,79,3
Follower,80,3
Follower,81,3
Follower,82,3
Follower,83,3
Follower,84,3
Follower,85,3
Follower,86,3
Follower,87,3
Follower,88,3
Follower,89,3
Follower,90,3
Follower,91,3
Follower,92,3
Follower,93,3
Follower,94,3
Follower,95,3
Follower,96,3
Follower,97,3
Follower,98,3
Follower,99,3
Follower,100,3
ClusterHead,4
ClusterHead,5

ClusterHead,1
ClusterHead,2
ClusterHead,3
Follower,6,3
Follower,7,3
Follower,8,3
Follower,9,3
Follower,10,3
Follower,11,3
Follower,12,3
Follower,13,3
Follower,14,3
Follower,15,3
Follower,16,3
Follower,17,3
Follower,18,3
Follower,19,3
Follower,20,3
Follower,21,3
Follower,22,3
Follower,23,3
Follower,24,3
Follower,25,3
Follower,26,3
Follower,27,3
Follower,28,3
Follower,29,3
Follower,30,3
Follower,31,3
Follower,32,3
Follower,33,3
Follower,34,3
Follower,35,3
Follower,36,3
Follower,37,3
Follower,38,3
Follower,39,3
Follower,40,3
Follower,41,3
Follower,42,3
Follower,43,3
Follower,44,3
Follower,45,3
Follower,46,3
Follower,47,3
Follower,48,3
Follower,49,3
Follower,50,3
Follower,51,3
Follower,52,3
Follower,53,3
Follower,54,3
Follower,55,3
Follower,56,3
Follower,57,3
Follower,58,3
Follower,59,3
Follower,60,3
Follower,61,3
Follower,62,3
Follower,63,3
Follower,64,3
Follower,65,3
Follower,66,3
Follower,67,3
Follower,68,3
Follower,69,3
Follower,70,3
Follower,71,3
Follower,72,3
Follower,73,3
Follower,74,3
Follower,75,3
Follower,76,3
Follower,77,3
Follower,78,3
Follower,79,3
Follower,80,3
Follower,81,3
Follower,82,3
Follower,83,3
Follower,84,3
Follower,85,3
Follower,86,3
Follower,87,3
Follower,88,3
Follower,89,3
Follower,90,3
Follower,91,3
Follower,92,3
Follower,93,3
Follower,94,3
Follower,95,3
Follower,96,3
Follower,97,3
Follower,98,3
Follower,99,3
Follower,100,3
ClusterHead,4
ClusterHead,5

ClusterHead,1
ClusterHead,2
ClusterHead,3
Follower,6,3
Follower,7,3
Follower,8,3
Follower,9,3
Follower,10,3
Follower,11,3
Follower,12,3
Follower,13,3
Follower,14,3
Follower,15,3
Follower,16,3
Follower,17,3
Follower,18,3
Follower,19,3
Follower,20,3
Follower,21,3
Follower,22,3
Follower,23,3
Follower,24,3
Follower,25,3
Follower,26,3
Follower,27,3
Follower,28,3
Follower,29,3
Follower,30,3
Follower,31,3
Follower,32,3
Follower,33,3
Follower,34,3
Follower,35,3
Follower,36,3
Follower,37,3
Follower,38,3
Follower,39,3
Follower,40,3
Follower,41,3
Follower,42,3
Follower,43,3
Follower,44,3
Follower,45,3
Follower,46,3
Follower,47,3
Follower,48,3
Follower,49,3
Follower,50,3
Follower,51,3
Follower,52,3
Follower,53,3
Follower,54,3
Follower,55,3
Follower,56,3
Follower,57,3
Follower,58,3
Follower,59,3
Follower,60,3
Follower,61,3
Follower,62,3
Follower,63,3
Follower,64,3
Follower,65,3
Follower,66,3
Follower,67,3
Follower,68,3
Follower,69,3
Follower,70,3
Follower,71,3
Follower,72,3
Follower,73,3
Follower,74,3
Follower,75,3
Follower,76,3
Follower,77,3
Follower,78,3
Follower,79,3
Follower,80,3
Follower,81,3
Follower,82,3
Follower,83,3
Follower,84,3
Follower,85,3
Follower,86,3
Follower,87,3
Follower,88,3
Follower,89,3
Follower,90,3
Follower,91,3
Follower,92,3
Follower,93,3
Follower,94,3
Follower,95,3
Follower,96,3
Follower,97,3
Follower,98,3
Follower,99,3
Follower,100,3
ClusterHead,4
ClusterHead,5

ClusterHead,1
ClusterHead,2
ClusterHead,3
Follower,6,3
Follower,7,3
Follower,8,3
Follower,9,3
Follower,10,3
Follower,11,3
Follower,12,3
Follower,13,3
Follower,14,3
Follower,15,3
Follower,16,3
Follower,17,3
Follower,18,3
Follower,19,3
Follower,20,3
Follower,21,3
Follower,22,3
Follower,23,3
Follower,24,3
Follower,25,3
Follower,26,3
Follower,27,3
Follower,28,3
Follower,29,3
Follower,30,3
Follower,31,3
Follower,32,3
Follower,33,3
Follower,34,3
Follower,35,3
Follower,36,3
Follower,37,3
Follower,38,3
Follower,39,3
Follower,40,3
Follower,41,3
Follower,42,3
Follower,43,3
Follower,44,3
Follower,45,3
Follower,46,3
Follower,47,3
Follower,48,3
Follower,49,3
Follower,50,3
Follower,51,3
Follower,52,3
Follower,53,3
Follower,54,3
